name,glon,glat,ra,dec,size_major,size_minor,size_flag,shape,shape_flag,flux,flux_flag,specindex,specindex_flag,othernames
G000.0+00.0,0.0,0.0,266.43333333333334,-29.0,3.5,2.5,,S,,100.0,?,0.8,?,['Sgr A East']
G000.3+00.0,0.3,0.0,266.5625,-28.633333333333333,15.0,8.0,,S,,22.0,,0.6,,[]
G000.9+00.1,0.9,0.1,266.8375,-28.15,8.0,8.0,,C,,18.0,?,,varies,[]
G001.0-00.1,1.0,-0.1,267.125,-28.15,8.0,8.0,,S,,15.0,,0.6,?,[]
G001.4-00.1,1.4,-0.1,267.4125,-27.766666666666666,10.0,10.0,,S,,2.0,?,,?,[]
G001.9+00.3,1.9,0.3,267.1875,-27.166666666666668,1.5,1.5,,S,,0.6,,0.6,,[]
G003.7-00.2,3.7,-0.2,268.85833333333335,-25.833333333333332,14.0,11.0,,S,,2.3,,0.65,,[]
G003.8+00.3,3.8,0.3,268.2291666666667,-25.466666666666665,18.0,18.0,,S,?,3.0,?,0.6,,[]
G004.2-03.5,4.2,-3.5,272.2291666666667,-27.05,28.0,28.0,,S,,3.2,?,0.6,?,[]
G004.5+06.8,4.5,6.8,262.675,-21.483333333333334,3.0,3.0,,S,,19.0,,0.64,,"['Kepler', ' SN1604', ' 3C358']"
G004.8+06.2,4.8,6.2,263.3541666666667,-21.566666666666666,18.0,18.0,,S,,3.0,,0.6,,[]
G005.2-02.6,5.2,-2.6,271.875,-25.75,18.0,18.0,,S,,2.6,?,0.6,?,[]
G005.4-01.2,5.4,-1.2,270.5416666666667,-24.9,35.0,35.0,,C,?,35.0,?,0.2,?,['Milne 56']
G005.5+00.3,5.5,0.3,269.26666666666665,-24.0,15.0,12.0,,S,,5.5,,0.7,,[]
G005.9+03.1,5.9,3.1,266.8333333333333,-22.266666666666666,20.0,20.0,,S,,3.3,?,0.4,?,[]
G006.1+00.5,6.1,0.5,269.37083333333334,-23.416666666666668,18.0,12.0,,S,,4.5,,0.9,,[]
G006.1+01.2,6.1,1.2,268.7291666666667,-23.083333333333332,30.0,26.0,,F,,4.0,?,0.3,?,[]
G006.4-00.1,6.4,-0.1,270.125,-23.433333333333334,48.0,48.0,,C,,310.0,,,varies,['W28']
G006.4+04.0,6.4,4.0,266.2916666666667,-21.366666666666667,31.0,31.0,,S,,1.3,?,0.4,?,[]
G006.5-00.4,6.5,-0.4,270.54583333333335,-23.566666666666666,18.0,18.0,,S,,27.0,,0.6,,[]
G007.0-00.1,7.0,-0.1,270.4583333333333,-22.9,15.0,15.0,,S,,2.5,?,0.5,?,[]
G007.2+00.2,7.2,0.2,270.27916666666664,-22.633333333333333,12.0,12.0,,S,,2.8,,0.6,,[]
G007.7-03.7,7.7,-3.7,274.3541666666667,-24.066666666666666,22.0,22.0,,S,,11.0,,0.32,,['1814-24']
G008.3-00.0,8.3,-0.0,271.14166666666665,-21.816666666666666,5.0,4.0,,S,,1.2,,0.6,,[]
G008.7-05.0,8.7,-5.0,276.0416666666667,-23.8,26.0,26.0,,S,,4.4,,0.3,,[]
G008.7-00.1,8.7,-0.1,271.375,-21.433333333333334,45.0,45.0,,S,?,80.0,,0.5,,['(W30)']
G008.9+00.4,8.9,0.4,270.9916666666667,-21.05,24.0,24.0,,S,,9.0,,0.6,,[]
G009.7-00.0,9.7,-0.0,271.84166666666664,-20.583333333333332,15.0,11.0,,S,,3.7,,0.6,,[]
G009.8+00.6,9.8,0.6,271.28333333333336,-20.233333333333334,12.0,12.0,,S,,3.9,,0.5,,[]
G009.9-00.8,9.9,-0.8,272.67083333333335,-20.716666666666665,12.0,12.0,,S,,6.7,,0.4,,[]
G010.5-00.0,10.5,-0.0,272.28333333333336,-19.783333333333335,6.0,6.0,,S,,0.9,,0.6,,[]
G011.0-00.0,11.0,-0.0,272.51666666666665,-19.416666666666668,11.0,9.0,,S,,1.3,,0.6,,[]
G011.1-01.0,11.1,-1.0,273.5125,-19.766666666666666,18.0,12.0,,S,,5.8,,0.5,,[]
G011.1-00.7,11.1,-0.7,273.19166666666666,-19.633333333333333,11.0,7.0,,S,,1.0,,0.7,,[]
G011.1+00.1,11.1,0.1,272.4458333333333,-19.2,12.0,10.0,,S,,2.3,,0.4,,[]
G011.2-00.3,11.2,-0.3,272.8625,-19.416666666666668,4.0,4.0,,C,,22.0,,0.5,,[]
G011.4-00.1,11.4,-0.1,272.6958333333333,-19.083333333333332,8.0,8.0,,S,?,6.0,,0.5,,[]
G011.8-00.2,11.8,-0.2,273.1041666666667,-18.733333333333334,4.0,4.0,,S,,0.7,,0.3,,[]
G012.0-00.1,12.0,-0.1,273.04583333333335,-18.616666666666667,7.0,7.0,?,,?,3.5,,0.7,,[]
G012.2+00.3,12.2,0.3,272.8208333333333,-18.166666666666668,6.0,5.0,,S,,0.8,,0.7,,[]
G012.5+00.2,12.5,0.2,273.05833333333334,-17.916666666666668,6.0,5.0,,C,?,0.6,,0.4,,[]
G012.7-00.0,12.7,-0.0,273.32916666666665,-17.9,6.0,6.0,,S,,0.8,,0.8,,[]
G012.8-00.0,12.8,-0.0,273.40416666666664,-17.816666666666666,3.0,3.0,,C,?,0.8,,0.5,,[]
G013.3-01.3,13.3,-1.3,274.8333333333333,-18.0,70.0,40.0,,S,?,,?,,?,[]
G013.5+00.2,13.5,0.2,273.55833333333334,-17.2,5.0,4.0,,S,,3.5,?,1.0,?,[]
G014.1-00.1,14.1,-0.1,274.1666666666667,-16.683333333333334,6.0,5.0,,S,,0.5,,0.6,,[]
G014.3+00.1,14.3,0.1,273.9916666666667,-16.45,5.0,4.0,,S,,0.6,,0.4,,[]
G015.1-01.6,15.1,-1.6,276.0,-16.566666666666666,30.0,24.0,,S,?,5.5,?,0.0,?,[]
G015.4+00.1,15.4,0.1,274.5083333333333,-15.45,15.0,14.0,,S,,5.6,,0.62,,[]
G015.9+00.2,15.9,0.2,274.71666666666664,-15.033333333333333,7.0,5.0,,S,?,5.0,,0.63,,[]
G016.0-00.5,16.0,-0.5,275.48333333333335,-15.233333333333333,15.0,10.0,,S,,2.7,,0.6,,[]
G016.2-02.7,16.2,-2.7,277.4166666666667,-16.133333333333333,17.0,17.0,,S,,2.5,,0.4,,[]
G016.4-00.5,16.4,-0.5,275.65833333333336,-14.916666666666666,13.0,13.0,,S,,4.6,,0.3,?,[]
G016.7+00.1,16.7,0.1,275.23333333333335,-14.333333333333334,4.0,4.0,,C,,3.0,,0.6,,[]
G017.0-00.0,17.0,-0.0,275.4875,-14.133333333333333,5.0,5.0,,S,,0.5,,0.5,,[]
G017.4-02.3,17.4,-2.3,277.7291666666667,-14.866666666666667,24.0,24.0,?,S,,5.0,,0.5,?,[]
G017.4-00.1,17.4,-0.1,275.78333333333336,-13.766666666666667,6.0,6.0,,S,,0.4,,0.7,,[]
G017.8-02.6,17.8,-2.6,278.2083333333333,-14.65,24.0,24.0,,S,,5.0,,0.5,,[]
G018.1-00.1,18.1,-0.1,276.14166666666665,-13.183333333333334,8.0,8.0,,S,,4.6,,0.5,,[]
G018.6-00.2,18.6,-0.2,276.4791666666667,-12.833333333333334,6.0,6.0,,S,,1.4,,0.4,,[]
G018.8+00.3,18.8,0.3,275.9916666666667,-12.383333333333333,17.0,11.0,,S,,33.0,,0.46,,['Kes 67']
G018.9-01.1,18.9,-1.1,277.4583333333333,-12.966666666666667,33.0,33.0,,C,?,37.0,,0.39,,[]
G019.1+00.2,19.1,0.2,276.23333333333335,-12.116666666666667,27.0,27.0,,S,,10.0,,0.5,,[]
G020.0-00.2,20.0,-0.2,277.02916666666664,-11.583333333333334,10.0,10.0,,F,,10.0,,0.1,,[]
G020.4+00.1,20.4,0.1,276.9625,-11.0,8.0,8.0,,S,?,9.0,?,0.1,?,[]
G021.0-00.4,21.0,-0.4,277.8,-10.783333333333333,9.0,7.0,,S,,1.1,,0.6,,[]
