#
# SKA1-low configurations
#
# * Core: area 1000 m in diameter, within which the individual stations
#   are randomly located with no overlap
# * Central: area 1700 m in radius
# * Cluster: a group of 6 stations placed randomly around a cluster
#   location, only defined for stations outside the core area
# * Individual stations will be 35-45 m in diameter
# * Each station has 256 antenna elements randomly placed
# * Total 512 stations; total 131,072 antenna elements
# * 3 arms with each arm of the spiral will contain 16 clusters
# * WGS84 Positions of SKA1-low Stations
#
# Note:
# WGS84 is an Earth-centred, Earth-fixed terrestrial reference system
# and geodetic datum
#
# Reference:
# SKA-TEL-SKO-0000422, revision 02, 2016-05-31, Table 1
# http://astronomers.skatelescope.org/wp-content/uploads/2016/09/SKA-TEL-SKO-0000422_02_SKA1_LowConfigurationCoordinates-1.pdf
#
# Array center: 116.7644482 , -26.82472208
#
Label	Longitude	Latitude
CENTER	116.7644482	-26.82472208
C1	116.7655399	-26.82598212
C2	116.7639199	-26.82400458
C3	116.7651234	-26.82519844
C4	116.7632707	-26.8251632
C5	116.7647362	-26.82463766
C6	116.7642597	-26.82325862
C7	116.7642824	-26.82416999
C8	116.76438	-26.82506289
C9	116.7654336	-26.82419534
C10	116.7631211	-26.82429413
C11	116.7635745	-26.82428184
C12	116.7658808	-26.82362068
C13	116.7644358	-26.8255531
C14	116.7647771	-26.82533563
C15	116.764054	-26.82459854
C16	116.7626123	-26.82468757
C17	116.7648029	-26.82399616
C18	116.7658352	-26.82414453
C19	116.7640291	-26.82512808
C20	116.7649085	-26.82491591
C21	116.76592	-26.82458807
C22	116.7661627	-26.82516717
C23	116.7651635	-26.82559726
C24	116.7640078	-26.82355978
C25	116.7654027	-26.82351788
C26	116.763623	-26.82333348
C27	116.7645438	-26.82367721
C28	116.7647061	-26.82617453
C29	116.7639855	-26.82568058
C30	116.7650723	-26.82371812
C31	116.7654382	-26.82539298
C32	116.7650863	-26.82320406
C33	116.7638584	-26.82607063
C34	116.7662326	-26.82416669
C35	116.7636826	-26.825313
C36	116.7631402	-26.8256788
C37	116.7651604	-26.82466117
C38	116.7633534	-26.82474063
C39	116.7651052	-26.82620429
C40	116.7626254	-26.82423371
C41	116.7636904	-26.82458619
C42	116.7663276	-26.82449107
C43	116.7625929	-26.82524526
C44	116.7649674	-26.82438176
C45	116.7638367	-26.82640251
C46	116.7628656	-26.8238663
C47	116.7659002	-26.82575495
C48	116.7628386	-26.8249453
C49	116.7645657	-26.82298227
C50	116.7662168	-26.82557408
C51	116.7647726	-26.82341861
C52	116.7642471	-26.82596996
C53	116.7633445	-26.8238249
C54	116.7655102	-26.82451286
C55	116.7664459	-26.8248581
C56	116.7629456	-26.8254135
C57	116.7648417	-26.82577849
C58	116.7635399	-26.82582645
C59	116.7644183	-26.82448199
C60	116.7656886	-26.82504806
C61	116.7631797	-26.82605715
C62	116.7634832	-26.82624136
C63	116.763684	-26.82495975
C64	116.7632454	-26.82340203
C65	116.7639195	-26.82303146
C66	116.7643659	-26.82645226
C67	116.762996	-26.82465271
C68	116.7654434	-26.82316337
C69	116.7655698	-26.82382532
C70	116.7642254	-26.82381443
C71	116.7658689	-26.82541509
C72	116.7661605	-26.82381893
C73	116.7648361	-26.82648871
C74	116.762772	-26.82568999
C75	116.7653454	-26.82494098
C76	116.7663944	-26.82617565
C77	116.7664468	-26.82650837
C78	116.7625601	-26.82260188
C79	116.7657815	-26.82657439
C80	116.7616289	-26.82384839
C81	116.7652462	-26.82734339
C82	116.7631213	-26.82666532
C83	116.7672825	-26.82346752
